,MAE,RMSE,PCC,R2,MAE_change,RMSE_change,PCC_change,R2_change
none,522.82416,1427.508143584477,0.7504553704042971,0.5160643328788366,0.0,0.0,0.0,0.0
no_agam,493.40518,1429.0351640180168,0.7936177143527958,0.5150284296678831,-5.626935832498642,0.10697104884497498,5.7514871171147215,-0.20073140981760013
no_mtfm,484.60455,1290.553853971232,0.8107781990729626,0.604466986796824,-7.310222618633383,-9.5939410383574,8.038163366885813,17.13016154882048
no_pprm,474.30157,1403.9528571145115,0.8063385536511352,0.5319034385253161,-9.280862231003246,-1.650098220162731,7.446569836222477,3.069211460153024
