,MAE,RMSE,PCC,R2,MAE_change,RMSE_change,PCC_change,R2_change
none,350.03223,1080.507403954272,0.8845850097698917,0.7227408224741981,0.0,0.0,0.0,0.0
no_agam,378.89413,1145.3461812919272,0.8606684807925549,0.6884670382086283,8.245497850297953,6.000771221036384,-2.703700459897948,-4.742195708309169
no_mtfm,382.18414,1132.698106293111,0.8551693925549904,0.695309599823962,9.185414154576561,4.830203120111885,-3.3253578672504642,-3.795443926403564
no_pprm,369.09058,1104.7169320690257,0.8750416108872221,0.7101772735140961,5.44474147423509,2.2405703122584377,-1.0788560485726721,-1.738320096143532
