,MAE,RMSE,PCC,R2,MAE_change,RMSE_change,PCC_change,R2_change
none,309.13455,992.8464760475308,0.8895648707585186,0.7659036330990593,0.0,0.0,0.0,0.0
no_agam,343.05237,1092.2141502471025,0.8484261505085109,0.7167003595434298,10.971863222664696,10.008362480687758,-4.62458912242447,-6.424212058707612
no_mtfm,367.0519,1010.3869308339256,0.8808032309714092,0.7575590994998236,18.73532091446912,1.7666834913110028,-0.9849354527274106,-1.0895017647940117
no_pprm,348.59656,1018.4015661810424,0.8963246776158369,0.7536976653096947,12.76531853201139,2.57392162333547,0.7599003827066895,-1.5936688718887277
